# WorldVision-SLAM 벤치마크 뷰어 매니페스트
# 지표는 python/tools/bench_run.py 가 계산한 값 그대로다.
# SEQ	name	dataset	seq_dir	gt_file	identity_ate_cm
# RUN	name	system	label	kind	ate_cm	rpe_mm	ms_per_frame	frames	status	traj_file
SEQ	freiburg3_structure_notexture_far	tum	D:/Program Files/Slam-Model/data/rgbd_dataset_freiburg3_structure_notexture_far	D:/Program Files/Slam-Model/data/rgbd_dataset_freiburg3_structure_notexture_far/groundtruth.txt	123.62
RUN	freiburg3_structure_notexture_far	baseline	ORB + PnP (classical)	descriptor	92230741478548.11	12.18	21.0	722	diverged	D:/Program Files/Slam-Model/results/bench/freiburg3_structure_notexture_far_baseline.txt
RUN	freiburg3_structure_notexture_far	wme	WME ECDA (Tier 0)	descriptor-free	12.20	8.01	36.5	722	ok	D:/Program Files/Slam-Model/results/bench/freiburg3_structure_notexture_far_wme.txt
RUN	freiburg3_structure_notexture_far	wme_masked	WME + token mask (YOLO)	descriptor-free	12.20	8.01	134.6	722	ok	D:/Program Files/Slam-Model/results/bench/freiburg3_structure_notexture_far_wme_masked.txt
SEQ	freiburg3_structure_texture_far	tum	D:/Program Files/Slam-Model/data/rgbd_dataset_freiburg3_structure_texture_far	D:/Program Files/Slam-Model/data/rgbd_dataset_freiburg3_structure_texture_far/groundtruth.txt	130.93
RUN	freiburg3_structure_texture_far	baseline	ORB + PnP (classical)	descriptor	3.30	8.89	34.3	720	ok	D:/Program Files/Slam-Model/results/bench/freiburg3_structure_texture_far_baseline.txt
RUN	freiburg3_structure_texture_far	wme	WME ECDA (Tier 0)	descriptor-free	1.95	7.51	49.9	720	ok	D:/Program Files/Slam-Model/results/bench/freiburg3_structure_texture_far_wme.txt
RUN	freiburg3_structure_texture_far	wme_masked	WME + token mask (YOLO)	descriptor-free	7.73	7.33	194.1	720	ok	D:/Program Files/Slam-Model/results/bench/freiburg3_structure_texture_far_wme_masked.txt
SEQ	freiburg3_walking_halfsphere	tum	D:/Program Files/Slam-Model/data/rgbd_dataset_freiburg3_walking_halfsphere	D:/Program Files/Slam-Model/data/rgbd_dataset_freiburg3_walking_halfsphere/groundtruth.txt	57.30
RUN	freiburg3_walking_halfsphere	baseline	ORB + PnP (classical)	descriptor	17.86	17.28	36.7	253	ok	D:/Program Files/Slam-Model/results/bench/freiburg3_walking_halfsphere_baseline.txt
RUN	freiburg3_walking_halfsphere	wme	WME ECDA (Tier 0)	descriptor-free	46.08	13.62	36.1	253	ok	D:/Program Files/Slam-Model/results/bench/freiburg3_walking_halfsphere_wme.txt
RUN	freiburg3_walking_halfsphere	wme_masked	WME + token mask (YOLO)	descriptor-free	10.77	11.17	137.8	253	ok	D:/Program Files/Slam-Model/results/bench/freiburg3_walking_halfsphere_wme_masked.txt
SEQ	freiburg3_walking_xyz	tum	D:/Program Files/Slam-Model/data/rgbd_dataset_freiburg3_walking_xyz	D:/Program Files/Slam-Model/data/rgbd_dataset_freiburg3_walking_xyz/groundtruth.txt	28.02
RUN	freiburg3_walking_xyz	baseline	ORB + PnP (classical)	descriptor	19.34	13.43	37.7	258	ok	D:/Program Files/Slam-Model/results/bench/freiburg3_walking_xyz_baseline.txt
RUN	freiburg3_walking_xyz	wme	WME ECDA (Tier 0)	descriptor-free	20.72	12.65	41.2	258	ok	D:/Program Files/Slam-Model/results/bench/freiburg3_walking_xyz_wme.txt
RUN	freiburg3_walking_xyz	wme_masked	WME + token mask (YOLO)	descriptor-free	6.48	9.82	135.9	258	ok	D:/Program Files/Slam-Model/results/bench/freiburg3_walking_xyz_wme_masked.txt
